1000
6.40
Pchamber	Preservoir	Thrust	Temp
1247.4748	-384.2365	-0.0769	24.8546
1248.0130	-384.2365	-0.5266	24.8546
1248.5512	-384.2365	-0.0769	24.8546
1248.0130	-383.7371	-0.0769	24.8546
1248.5512	-384.2365	-0.0769	24.8546
1247.4748	-384.7359	-0.2268	24.8546
1247.4748	-383.7371	-0.5266	24.8546
1248.0130	-383.7371	-0.2268	24.8546
1246.9367	-384.2365	-0.2268	24.8546
1247.4748	-384.2365	-0.0769	24.8546
1248.0130	-384.7359	-0.2268	24.8546
1247.4748	-384.2365	-0.2268	24.8546
1248.5512	-384.2365	-0.2268	24.8546
1248.0130	-384.2365	-0.2268	24.8546
1248.0130	-383.7371	-0.2268	24.8546
1248.0130	-383.7371	-0.0769	24.8546
1248.0130	-383.7371	-0.2268	24.8546
1247.4748	-383.7371	-0.0769	24.8546
1246.9367	-384.2365	-0.3767	24.8546
1247.4748	-383.7371	-0.2268	24.8546
1247.4748	-384.2365	-0.2268	24.8546
1248.5512	-383.7371	0.0730	24.8546
1248.0130	-384.2365	-0.2268	24.8546
1248.5512	-384.2365	-0.2268	24.8546
1248.5512	-383.7371	0.0730	24.8546
1248.5512	-383.7371	-0.0769	24.8546
1247.4748	-383.7371	-0.2268	24.8546
1246.9367	-384.2365	-0.0769	24.8546
1246.9367	-384.7359	-0.0769	24.8546
1247.4748	-384.2365	-0.0769	24.8546
1248.0130	-384.7359	-0.3767	24.8546
1248.5512	-384.2365	-0.0769	24.8546
1248.0130	-384.2365	-0.2268	24.8546
1248.5512	-383.7371	-0.2268	24.8546
1248.5512	-383.2378	-0.2268	24.8546
1248.5512	-384.2365	-0.0769	24.8546
1248.0130	-384.2365	-0.2268	24.8546
1247.4748	-384.2365	-0.2268	24.8546
1247.4748	-384.7359	-0.0769	24.8546
1247.4748	-385.2352	-0.2268	24.8546
1247.4748	-383.7371	-0.2268	24.8546
1248.0130	-384.7359	-0.2268	24.8546
1248.0130	-383.7371	-0.2268	24.8546
1247.4748	-383.7371	-0.3767	24.8546
1248.0130	-383.2378	-0.0769	24.8546
1248.0130	-384.2365	-0.2268	24.8546
1248.0130	-384.2365	0.0730	24.8546
1247.4748	-384.2365	-0.2268	24.8546
1247.4748	-384.2365	-0.0769	24.8546
1247.4748	-384.2365	-0.3767	24.8546
1248.0130	-383.7371	0.0730	24.8546
1249.6275	-384.2365	-0.2268	24.8546
1248.5512	-384.2365	-0.2268	24.8546
1248.5512	-384.2365	-0.0769	24.8546
1248.5512	-384.2365	-0.2268	24.8546
